response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Rassf1,Rassf1,39,1282,True,0.152,0.823498377905608,0.12572073679096,-0.280162286696316,False,Rassf1,0.5563589961718381,0.6317228674682235,True,negative,True
Hps5,Hps5,24,596,True,0.156,1.32453455479957,0.235483657240186,0.405485481599338,False,Hps5,0.2607401105912362,0.20238455488989174,True,negative,False
Romo1,Romo1,70,2028,True,0.156,0.904588843796261,0.0556508285639072,-0.144665891421972,False,Romo1,0.87579753296469,1.7044375544080417,True,negative,True
Dhx30,Dhx30,27,715,True,0.172,1.25306947097603,0.213310984787277,0.325466400816417,False,Dhx30,0.3126329221607807,0.23478423720148048,True,negative,False
Sult1a1,Sult1a1,27,971,True,0.172,0.627139177112742,0.127004416652982,-0.673142447954698,False,Sult1a1,0.4232241599319411,0.9169933403841498,True,negative,True
Zfp280b,Zfp280b,23,652,True,0.172,0.763972799032491,0.152703773161109,-0.388406822332537,False,Zfp280b,0.28455976180348613,0.21225453675817085,True,negative,True
Naprt,Naprt,14,507,True,0.184,1.36920220324678,0.336481518950852,0.453335518969767,False,Naprt,0.22288387920033895,0.17038255446498077,True,negative,False
Nectin1,Nectin1,23,528,True,0.188,1.26562912458281,0.245815549813795,0.339854704518574,False,Nectin1,0.23054019566141928,0.16742275642690532,True,negative,False
Phf3,Phf3,120,2082,True,0.188,0.925978487382616,0.0481858228684194,-0.110949418148,False,Phf3,0.9000425350914444,1.929544581905426,True,negative,True
Ylpm1,Ylpm1,87,1548,True,0.192,1.10716532487606,0.0876226734843498,0.146870665272319,False,Ylpm1,0.6707783921735387,0.7828006013327174,True,negative,False
Zbtb1,Zbtb1,59,1402,True,0.192,0.875177330607292,0.0885005723264374,-0.192352725865679,False,Zbtb1,0.6099532113994005,0.6928301492872111,True,negative,True
Rb1,Rb1,39,1207,True,0.208,0.833408550247195,0.111449654833828,-0.262904193627859,False,Rb1,0.524032326669499,0.5076374105370391,True,negative,True
Stat5a,Stat5a,9,305,True,0.212,0.685302780012961,0.215356098085028,-0.545186555410727,False,Stat5a,0.13270948532539276,0.08880980402834486,True,negative,True
Hmgn5,Hmgn5,22,782,True,0.216,0.804774149656538,0.159120181520345,-0.313344130153065,False,Hmgn5,0.3424074861760931,0.28879685070774913,True,negative,True
