response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant
Hgfac,Hgfac,17,588,True,0.26,1.28884717549575,0.298272221231922,0.366081206891577,False
Pbx3,Pbx3,19,552,True,0.26,1.2606461875755,0.267453525653812,0.334163426297414,False
Wdr18,Wdr18,37,1923,True,0.264,0.879227406062719,0.0962384168136567,-0.185691738201507,False
Mtmr3,Mtmr3,41,1331,True,0.268,1.15467776618178,0.128222447651471,0.207490297534971,False
Fbxo46,Fbxo46,28,899,True,0.272,1.20976513821141,0.16408793161618,0.274726992271857,False
Galnt1,Galnt1,79,2090,True,0.272,1.06483599670522,0.0665252937556347,0.0906312473901578,False
Cluh,Cluh,39,1627,True,0.276,0.877385129244159,0.0960247980083557,-0.188717840487726,False
Nsmce1,Nsmce1,17,1115,True,0.284,1.19554169781816,0.226416267916428,0.25766444890055,False
Abhd17a,Abhd17a,15,1118,True,0.288,0.811655257413002,0.156579294788125,-0.301061007907628,False
Triobp,Triobp,26,1466,True,0.288,0.831415858974686,0.124917635247898,-0.266357827745476,False
Ccdc28b,Ccdc28b,10,238,True,0.296,1.3985882356616,0.419554347705694,0.483971275005244,False
Rad17,Rad17,32,633,True,0.296,0.850172024101753,0.130701717513348,-0.234173308685758,False
Uap1,Uap1,68,2036,True,0.296,1.08029996860395,0.0694517738375886,0.111431963433894,False
Zfp407,Zfp407,25,233,True,0.296,0.808741603261331,0.154321260514097,-0.306249266448211,False
Afg3l2,Afg3l2,76,1386,True,0.304,0.924527446407899,0.0868984290518636,-0.113211945394391,False
Fam234b,Fam234b,18,481,True,0.304,1.24505786584483,0.23581902260439,0.316212795166734,False
Agps,Agps,54,1423,True,0.312,0.882114978480152,0.0994935402682646,-0.180961380066031,False
Acy1,Acy1,41,935,True,0.316,1.14845268358286,0.150810703111148,0.199691418695319,False
Cstf3,Cstf3,63,1367,True,0.32,0.888012933163432,0.0921771227123698,-0.171347406515955,False
Narf,Narf,27,762,True,0.32,1.23879236397336,0.209602783595998,0.308934395251688,False
Stard10,Stard10,114,2259,True,0.324,0.937824668047595,0.0517191660067154,-0.0926098674367755,False
Tbrg1,Tbrg1,64,2196,True,0.324,0.934958460740674,0.0608667886727584,-0.0970258259455833,False
Sec11c,Sec11c,42,1411,True,0.328,1.10306728900684,0.181520785851318,0.141520800499071,False
Itfg2,Itfg2,45,1096,True,0.332,1.12388478502832,0.136596874049783,0.168494145355988,False
Tars2,Tars2,31,1318,True,0.336,0.861943051718021,0.123366391661652,-0.214335540791141,False
Map4k5,Map4k5,24,1191,True,0.344,0.861240975733858,0.177356279966281,-0.215511133856755,False
Dpm2,Dpm2,47,1255,True,0.348,1.11295754947305,0.126449053752269,0.154398566325275,False
Tmem243,Tmem243,35,686,True,0.348,1.145155120814,0.173873015205353,0.195543036637649,False
Azi2,Azi2,37,1508,True,0.352,1.12751733154963,0.132554478847855,0.173149609931682,False
Pex3,Pex3,13,574,True,0.352,0.774161087680798,0.185585224734834,-0.369294300846379,False
Rasa2,Rasa2,21,847,True,0.352,1.20457330567201,0.208026606487591,0.268522193087729,False
Txndc9,Txndc9,58,2193,True,0.352,1.05700449106232,0.0663314560606943,0.079981506540438,False
Chpt1,Chpt1,34,895,True,0.368,1.12051080854541,0.157132714556733,0.164156565278161,False
Cnnm3,Cnnm3,13,763,True,0.372,0.75135758194995,0.182146188039699,-0.412428424260147,False
Fam172a,Fam172a,18,930,True,0.372,0.802215218406094,0.153993878882582,-0.31793875986091,False
Retreg2,Retreg2,38,1652,True,0.392,1.10663285962803,0.11204780670661,0.146176667966722,False
Zfp983,Zfp983,28,397,True,0.396,1.15385633917518,0.209468292991337,0.206463612491732,False
Arhgef26,Arhgef26,63,1708,True,0.404,1.09057668623292,0.104344703375719,0.125091219733902,False
Lrig2,Lrig2,31,935,True,0.404,0.89133277375338,0.147679768779467,-0.165963941015557,False
Ccdc174,Ccdc174,135,1601,True,0.408,1.04771021920117,0.0663015894585351,0.067239744421773,False
Oser1,Oser1,53,1589,True,0.408,1.05638253032199,0.132496026620934,0.0791323485844806,False
Nqo2,Nqo2,79,1939,True,0.416,1.05049233067399,0.0715955121025475,0.071065629370327,False
Tmem120b,Tmem120b,21,488,True,0.416,0.83751190609151,0.167936086485427,-0.255818394892773,False
Tbl1xr1,Tbl1xr1,101,2037,True,0.424,1.03831036598895,0.0693564328360822,0.0542377505791789,False
