names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
Aebp2,0.44894168,0.0058185775,0.6534737201990051,1.0,0.8249427548618053
Rtf1,0.44891727,0.02720099,0.6534913479667338,1.0,0.472667462185958
G0s2,0.44884282,0.0278536,0.6535450337232308,1.0,0.11361950527300287
Trir,0.44875842,0.006643584,0.6536059331699621,1.0,0.9829715870609862
Syt12,0.4482164,-0.025172977,0.653997026672889,1.0,0.11623181862160158
Smoc1,0.44800314,0.7696828,0.6541509255798867,1.0,0.020350243493404713
Rb1cc1,0.44697464,0.010876018,0.654893373553225,1.0,0.7767923372141774
Lin52,0.44689578,0.038050354,0.6549503140092605,1.0,0.2336246653981359
Nr2c2,0.44685578,0.012178412,0.6549791859931324,1.0,0.5244299674267101
Esf1,0.4465259,0.004824683,0.655217399540698,1.0,0.47905311703808817
Slc36a4,0.44632933,0.024274234,0.6553593818797367,1.0,0.14019414970813043
Krt10,0.44606054,0.025500359,0.6555535247868609,1.0,0.25049182442674234
Txndc12,0.44556627,0.008957367,0.6559105838586177,1.0,0.4131970200277357
Rnf139,0.44546297,0.026264869,0.6559852151301689,1.0,0.4132615215918986
Cenpx,0.44534302,0.01983006,0.6560718880132425,1.0,0.7466701067500887
Igf2bp2,0.4452908,0.015506331,0.6561096082139553,1.0,0.8726739123423743
Top2b,0.44528526,0.005452665,0.6561136210528684,1.0,0.8286838455832554
Mettl27,0.44514865,0.10260876,0.656212340014555,1.0,0.09581707356403393
Nipa1,0.44513977,0.0316841,0.6562187609679888,1.0,0.2367207404779566
Zfp677,0.4449787,0.03398812,0.6563351451504137,1.0,0.18018511948914762
Frat1,0.44471547,0.095623754,0.6565253910469608,1.0,0.1180701132002451
Cdc5l,0.44470993,0.014422251,0.6565294049134061,1.0,0.5067242880639855
Fbxl20,0.44463548,0.032624587,0.6565831916801468,1.0,0.4151643177347051
Lca5,0.44394797,0.049311128,0.657080201328008,1.0,0.21443545005966394
Phospho2,0.44391355,0.011924622,0.6571050959476196,1.0,0.40993969103750766
Galnt7,0.44334707,0.024097273,0.6575147071989873,1.0,0.4680878511303899
Hagh,0.4426829,0.023081707,0.6579951275039889,1.0,0.5793853000935273
Lmln,0.44228303,0.21148741,0.6582844118779838,1.0,0.04411906988744477
Phf1,0.44222414,0.080802925,0.6583270052879797,1.0,0.10520205114974038
Trmt1l,0.44149,0.019759906,0.6588583105507761,1.0,0.6001870545360725
Mphosph6,0.44145444,0.021452924,0.658884036207199,1.0,0.6560776598832522
Zfp213,0.4413156,0.045285825,0.6589845309203306,1.0,0.14651530299609766
Igfbp4,0.44116232,0.009983944,0.6590954842350883,1.0,0.9945173670461509
Senp8,0.44101015,0.07460421,0.6592056409618887,1.0,0.07907891766375334
Dnajc25,0.44091797,0.0446128,0.6592723818450816,1.0,0.3467281581578353
Supt4a,0.4405592,0.019511271,0.6595321342316556,1.0,0.9017963685619377
Map2k7,0.440517,0.013612583,0.6595626960357992,1.0,0.5862547166768795
Rbsn,0.44036818,0.02262193,0.659670471142865,1.0,0.5275260425065308
Glcci1,0.43988392,0.14764437,0.66002119126146,1.0,0.0459573644660883
Bbof1,0.4398417,0.31821328,0.660051762152081,1.0,0.02502660689521721
Isg20l2,0.4398306,0.020131152,0.6600598072176254,1.0,0.42332376560131585
Wdcp,0.43955958,0.23368026,0.6602561189938594,1.0,0.02628438739639436
Galc,0.43912196,0.13337302,0.66057316360654,1.0,0.06711387751152965
Tpcn2,0.43900755,0.040839832,0.6606560558760601,1.0,0.14080691456767827
Psmb9,0.43891427,0.18955196,0.6607236604207342,1.0,0.06276002193053182
Ankrd11,0.43838,0.0052774595,0.6611108302208369,1.0,0.8025607120972683
Rad51d,0.43800572,0.017305214,0.6613821445910488,1.0,0.2954816654303867
Jdp2,0.43776023,0.0068489616,0.661560093005523,1.0,0.6335666139903893
Trim68,0.43740705,0.0121351555,0.6618161790270715,1.0,0.15196568516786532
Arhgap45,0.4369883,0.1899249,0.662119829121107,1.0,0.04918244267423485
Jam2,0.43676394,0.0216507,0.6622825504460526,1.0,0.30970426032831294
Slc25a3,0.43668398,0.0059355386,0.6623405539814664,1.0,0.9820363143806238
Xndc1,0.4366662,0.03443105,0.6623534439310987,1.0,0.24855677750185443
Mfn1,0.43636298,0.011533653,0.6625733941078235,1.0,0.7366723643048344
Ticam1,0.4360531,0.044878602,0.6627982084253556,1.0,0.16144741509981617
Mindy4,0.4358698,0.08309114,0.6629311774266823,1.0,0.11155545521978907
Abca2,0.43578207,0.0113794925,0.6629948451333203,1.0,0.47702131776695583
Gspt2,0.43565658,0.13699624,0.6630859183630482,1.0,0.05656787177089045
Rab6b,0.43514344,0.25206882,0.6634583226493213,1.0,0.032186280517302546
Dglucy,0.43477467,0.010189311,0.6637259892100085,1.0,0.7633437610862064
Tmem132a,0.43450812,0.0119409915,0.6639195098367721,1.0,0.727287386719128
Krcc1,0.43449366,0.010628717,0.6639299928441421,1.0,0.8908956042184023
Itpripl1,0.4334674,0.081258945,0.664675261110367,1.0,0.09207598284258393
Zfr,0.43326634,0.010779944,0.6648212886696339,1.0,0.8184925984455123
Ypel3,0.43317303,0.03329145,0.6648890626873254,1.0,0.395620343793337
Cmtm4,0.43303755,0.0023643642,0.6649875012576408,1.0,0.8565807720837231
Tmem191,0.43301755,0.2978015,0.665002025470169,1.0,0.02879994839874867
Nup37,0.43292314,0.028035054,0.6650706137280876,1.0,0.5165607765988325
Zfp821,0.43289202,0.027060471,0.6650932081210306,1.0,0.3350211242622634
Ppan,0.4326577,0.009824414,0.665263482792495,1.0,0.8606121198439062
Zeb2,0.4326377,0.13161011,0.6652780093932598,1.0,0.06924242912890638
